,X1,X,long,lat,group,order,region,subregion,State,GeoRegion
14348,14348,14348,-123.850563,46.26061249,60,14407,washington,NA,WA,Pacific
14349,14349,14349,-123.8906708,46.27207184,60,14408,washington,NA,WA,Pacific
14350,14350,14350,-123.9193192,46.30644989,60,14409,washington,NA,WA,Pacific
14351,14351,14351,-123.9766083,46.31790543,60,14410,washington,NA,WA,Pacific
14352,14352,14352,-124.0052567,46.29499054,60,14411,washington,NA,WA,Pacific
14353,14353,14353,-124.0281754,46.31217957,60,14412,washington,NA,WA,Pacific
14354,14354,14354,-124.016716,46.36947632,60,14413,washington,NA,WA,Pacific
14355,14355,14355,-124.010994,46.45541763,60,14414,washington,NA,WA,Pacific
14356,14356,14356,-124.022438,46.52990341,60,14415,washington,NA,WA,Pacific
14357,14357,14357,-124.0338974,46.61584473,60,14416,washington,NA,WA,Pacific
14358,14358,14358,-124.016716,46.63303375,60,14417,washington,NA,WA,Pacific
14359,14359,14359,-123.9880676,46.61584473,60,14418,washington,NA,WA,Pacific
14360,14360,14360,-123.9708862,46.57000732,60,14419,washington,NA,WA,Pacific
14361,14361,14361,-123.9594193,46.36947632,60,14420,washington,NA,WA,Pacific
14362,14362,14362,-123.8963928,46.38093185,60,14421,washington,NA,WA,Pacific
14363,14363,14363,-123.8734741,46.43823242,60,14422,washington,NA,WA,Pacific
14364,14364,14364,-123.8792114,46.49552536,60,14423,washington,NA,WA,Pacific
14365,14365,14365,-123.850563,46.52416992,60,14424,washington,NA,WA,Pacific
14366,14366,14366,-123.9250412,46.62730408,60,14425,washington,NA,WA,Pacific
14367,14367,14367,-123.8792114,46.63303375,60,14426,washington,NA,WA,Pacific
14368,14368,14368,-123.8620071,46.67887115,60,14427,washington,NA,WA,Pacific
14369,14369,14369,-123.798996,46.70751953,60,14428,washington,NA,WA,Pacific
14370,14370,14370,-123.850563,46.74762726,60,14429,washington,NA,WA,Pacific
14371,14371,14371,-123.8792114,46.73043823,60,14430,washington,NA,WA,Pacific
14372,14372,14372,-123.9021149,46.72470856,60,14431,washington,NA,WA,Pacific
14373,14373,14373,-123.9250412,46.73616791,60,14432,washington,NA,WA,Pacific
14374,14374,14374,-123.9536819,46.70751953,60,14433,washington,NA,WA,Pacific
14375,14375,14375,-123.9880676,46.71897888,60,14434,washington,NA,WA,Pacific
14376,14376,14376,-124.0281754,46.71324921,60,14435,washington,NA,WA,Pacific
14377,14377,14377,-124.0453568,46.73616791,60,14436,washington,NA,WA,Pacific
14378,14378,14378,-124.0453568,46.78773499,60,14437,washington,NA,WA,Pacific
14379,14379,14379,-124.0568237,46.82784271,60,14438,washington,NA,WA,Pacific
14380,14380,14380,-124.0854645,46.88513565,60,14439,washington,NA,WA,Pacific
14381,14381,14381,-124.0797424,46.90805435,60,14440,washington,NA,WA,Pacific
14382,14382,14382,-124.0453568,46.90232468,60,14441,washington,NA,WA,Pacific
14383,14383,14383,-124.0281754,46.86221695,60,14442,washington,NA,WA,Pacific
14384,14384,14384,-123.9880676,46.84503174,60,14443,washington,NA,WA,Pacific
14385,14385,14385,-123.9880676,46.86221695,60,14444,washington,NA,WA,Pacific
14386,14386,14386,-123.9937897,46.896595,60,14445,washington,NA,WA,Pacific
14387,14387,14387,-123.9594193,46.9195137,60,14446,washington,NA,WA,Pacific
14388,14388,14388,-123.8677444,46.93670273,60,14447,washington,NA,WA,Pacific
14389,14389,14389,-123.7703476,46.97680664,60,14448,washington,NA,WA,Pacific
14390,14390,14390,-123.8562851,46.99972534,60,14449,washington,NA,WA,Pacific
14391,14391,14391,-123.9479599,46.99972534,60,14450,washington,NA,WA,Pacific
14392,14392,14392,-123.9651489,47.02264404,60,14451,washington,NA,WA,Pacific
14393,14393,14393,-123.9880676,47.05129623,60,14452,washington,NA,WA,Pacific
14394,14394,14394,-124.0453568,47.04556274,60,14453,washington,NA,WA,Pacific
14395,14395,14395,-124.0740051,46.97680664,60,14454,washington,NA,WA,Pacific
14396,14396,14396,-124.0912018,46.9653511,60,14455,washington,NA,WA,Pacific
